Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Amour,2012,Drama|Romance,French,France,PG-13,127,1.85,8900000,225377,Michael Haneke,Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,70382,190,447,7.9
Anna Karenina,2012,Drama|Romance,English,UK,R,129,2.35,,12802907,Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,70886,226,324,6.6
Antiviral,2012,Horror|Sci-Fi|Thriller,English,Canada,Not Rated,108,1.85,3200000,,Brandon Cronenberg,Sarah Gadon,Douglas Smith,Caleb Landry Jones,9356,47,188,5.7
Arbitrage,2012,Drama|Thriller,English,USA,R,107,1.85,12000000,7918283,Nicholas Jarecki,Nate Parker,Curtiss Cook,Reg E. Cathey,41574,145,288,6.6
Archaeology of a Woman,2012,Drama,English,USA,,94,1.78,200000,,Sharon Greytak,Sally Kirkland,Alex Emanuel,Elaine Bromka,15,3,3,8.1
Argo,2012,Biography|Drama|History|Thriller,English,USA,R,130,2.35,44500000,136019448,Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,452465,695,656,7.7
Atlas Shrugged II: The Strike,2012,Drama|Mystery|Sci-Fi,English,USA,PG-13,111,2.35,10000000,3333823,John Putch,Robert Picardo,Diedrich Bader,Esai Morales,5612,122,23,5.5
Bachelorette,2012,Comedy|Romance,English,USA,R,87,2.35,3000000,418268,Leslye Headland,Kirsten Dunst,Adam Scott,Andrew Rannells,37156,129,156,5.3
Bait,2012,Action|Horror|Sci-Fi,English,Australia,R,93,1.85,30000000,,Kimble Rendall,Alex Russell,Cariba Heine,Richard Brancatisano,11482,82,145,5.2
Battleship,2012,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,131,2.35,209000000,65173160,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,202382,751,377,5.9
Beasts of the Southern Wild,2012,Drama|Fantasy,English,USA,PG-13,93,1.85,1800000,12784397,Benh Zeitlin,Quvenzhané Wallis,Gina Montana,Dwight Henry,70336,269,663,7.3
Big Miracle,2012,Biography|Drama|Romance,English,USA,PG,107,2.35,40000000,20113965,Ken Kwapis,Ted Danson,Tim Blake Nelson,Andrew Daly,15231,66,125,6.5
Black November,2012,Action|Crime|Drama|Thriller,English,Nigeria,,95,,7500000,,Jeta Amata,Akon,Nathin Butler,Razaaq Adoti,385,4,6,5.6
Black Rock,2012,Horror|Thriller,English,USA,R,83,1.85,,,Katie Aselton,Katie Aselton,Anslem Richardson,Jay Paulson,6531,47,95,4.7
Blue Like Jazz,2012,Comedy|Drama,English,USA,PG-13,108,1.85,1200000,594904,Steve Taylor,Jason Marsden,Marshall Allman,Eric Lange,2582,89,38,6
Brave,2012,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,93,2.35,185000000,237282182,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,273556,428,488,7.2
Bullet to the Head,2012,Action|Thriller,English,USA,R,92,1.85,55000000,9483821,Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,39247,131,279,5.7
Burn,2012,Documentary,English,USA,Not Rated,86,2.35,225000,111300,Tom Putnam,Brendan Doogie Milewski,Donald Austin,Craig Dougherty,575,6,22,7.5
Casa de mi Padre,2012,Comedy|Western,Spanish,USA,R,84,2.35,6000000,5895238,Matt Piedmont,Will Ferrell,Adrian Martinez,Luis E. Carazo,17169,70,133,5.5
Celeste & Jesse Forever,2012,Comedy|Drama|Romance,English,USA,R,92,2.35,,3094687,Lee Toland Krieger,Ari Graynor,Janel Parrish,Rob Huebel,24391,61,193,6.7
Chasing Mavericks,2012,Biography|Drama|Sport,English,USA,PG,116,1.85,20000000,6002756,Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,24997,75,116,7.2
Chernobyl Diaries,2012,Horror|Mystery|Sci-Fi|Thriller,English,USA,R,86,1.85,1000000,18112929,Bradley Parker,Jesse McCartney,Ingrid Bolsø Berdal,Jonathan Sadowski,52642,271,270,5
Chronicle,2012,Drama|Sci-Fi|Thriller,English,USA,PG-13,89,1.85,12000000,64572496,Josh Trank,Michael Kelly,Alex Russell,Ashley Hinshaw,204327,471,414,7.1
Cirque du Soleil: Worlds Away,2012,Fantasy,English,USA,PG,91,,,12495865,Andrew Adamson,Dallas Barnett,Erica Linz,Igor Zaripov,7100,35,73,6.8
Cloud Atlas,2012,Drama|Sci-Fi,English,Germany,R,172,2.35,102000000,27098580,Tom Tykwer,Tom Hanks,Jim Sturgess,Jim Broadbent,284825,828,511,7.5
Compliance,2012,Biography|Crime|Drama|Thriller,English,USA,R,90,2.35,270000,318622,Craig Zobel,Dreama Walker,Matt Servitto,James McCaffrey,24668,175,286,6.4
Contraband,2012,Action|Crime|Drama|Thriller,English,USA,R,109,2.35,25000000,66489425,Baltasar Kormákur,J.K. Simmons,David O'Hara,Lukas Haas,101977,161,270,6.5
Crowsnest,2012,Action|Horror|Mystery|Thriller,English,Canada,R,84,,1200000,,Brenton Spencer,Christie Burke,Victor Zinck Jr.,Chelsey Reist,1321,51,22,3.8
Dark Shadows,2012,Comedy|Fantasy|Horror,English,USA,PG-13,113,1.85,100000000,79711678,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,199039,479,526,6.2
Darling Companion,2012,Comedy|Drama|Romance,English,USA,PG-13,103,2.35,,793352,Lawrence Kasdan,Dianne Wiest,Mark Duplass,Sam Shepard,2551,25,57,5.1
Day One,2012,Biography|Drama|Music,English,USA,PG-13,102,,3400000,,Nathan Frankowski,Corbin Bleu,Rus Blackwell,Luis Antonio,2116,13,17,6.6
Deadfall,2012,Crime|Drama|Thriller,English,USA,R,95,2.35,12000000,65804,Stefan Ruzowitzky,Charlie Hunnam,Olivia Wilde,Sissy Spacek,32512,86,162,6.3
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,Documentary,English,USA,,88,,500000,151389,Molly Bernstein,David Mamet,Ricky Jay,Dick Cavett,774,7,39,7.1
Detention of the Dead,2012,Comedy|Horror,English,USA,Not Rated,87,2.35,500000,1332,Alex Craig Mann,Justin Chon,Christa B. Allen,Max Adler,2038,20,29,4.6
Diary of a Wimpy Kid: Dog Days,2012,Comedy|Family,English,USA,PG,94,2.35,22000000,49002815,David Bowers,Zachary Gordon,Rachael Harris,Karan Brar,15665,35,88,6.4
Django Unchained,2012,Drama|Western,English,USA,R,165,2.35,100000000,162804648,Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,955174,1193,765,8.5
Dredd,2012,Action|Sci-Fi,English,UK,R,95,2.35,35000000,13401683,Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,203458,588,432,7.1
Dredd,2012,Action|Sci-Fi,English,UK,R,95,2.35,35000000,13401683,Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,203461,588,432,7.1
Dysfunctional Friends,2012,Comedy|Drama,English,USA,Not Rated,111,1.85,1800000,,Corey Grant,Christian Keyes,Essence Atkins,Tatyana Ali,686,8,4,5.4
Eddie: The Sleepwalking Cannibal,2012,Comedy|Horror,English,Canada,Not Rated,83,,1500000,1521,Boris Rodriguez,Stephen McHattie,Thure Lindhardt,Georgina Reilly,1231,10,56,5.7
End of Watch,2012,Crime|Drama|Thriller,English,USA,R,109,1.85,7000000,40983001,David Ayer,Jake Gyllenhaal,Anna Kendrick,America Ferrera,181025,336,355,7.7
Ernest & Celestine,2012,Animation|Comedy|Crime|Drama|Family,French,France,PG,80,1.85,9600000,71442,Stéphane Aubier,Mackenzie Foy,Megan Mullally,Lambert Wilson,12029,32,99,7.9
Filly Brown,2012,Drama|Music,English,USA,R,80,2.35,427000,2833383,Youssef Delara,Noel Gugliemi,Jenni Rivera,Jorge Diaz,910,11,16,5.7
Flight,2012,Drama|Thriller,English,USA,R,138,2.35,31000000,93749203,Robert Zemeckis,Denzel Washington,Bruce Greenwood,Nadine Velazquez,264047,491,449,7.3
Foodfight!,2012,Action|Animation|Comedy|Family|Fantasy,English,USA,PG,91,,65000000,,Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,4377,66,12,1.7
"For a Good Time, Call...",2012,Comedy,English,USA,R,88,2.35,850000,1243961,Jamie Travis,James Wolk,Ari Graynor,Nia Vardalos,13421,34,115,6
For Greater Glory: The True Story of Cristiada,2012,Drama|History|War,Spanish,Mexico,R,145,2.35,10818775,5669081,Dean Wright,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,3665,57,43,6.6
Frances Ha,2012,Comedy|Drama|Romance,English,USA,R,86,1.85,,4063238,Noah Baumbach,Greta Gerwig,Grace Gummer,Vanessa Ray,43982,139,345,7.4
Frankenweenie,2012,Animation|Comedy|Family|Horror|Sci-Fi,English,USA,PG,87,1.85,39000000,35287788,Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer,73886,165,370,7
Freaky Deaky,2012,Comedy|Crime|Thriller,English,USA,R,90,,6000000,,Charles Matthau,Billy Burke,Michael Jai White,Bill Duke,6741,11,13,6.5
Fun Size,2012,Adventure|Comedy,English,USA,PG-13,86,2.35,14000000,9402410,Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,11233,32,77,5.4
Girls Gone Dead,2012,Comedy|Horror,English,USA,R,104,2.35,500000,,Michael Hoffman Jr.,Vincent Chimato,John McGlothlin,Al Sapienza,2012,28,64,3.5
Good Deeds,2012,Comedy|Drama|Romance,English,USA,PG-13,110,2.35,,35010192,Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,6352,43,42,5.4
Grabbers,2012,Comedy|Horror|Sci-Fi|Thriller,English,UK,Not Rated,94,2.35,4000000,,Jon Wright,Russell Tovey,Richard Coyle,Bronagh Gallagher,13227,70,187,6.3
Hardflip,2012,Action|Drama,English,USA,PG-13,112,1.85,1000000,96734,Johnny Remo,Matthew Ziff,Randy Wayne,Raquel Elizabeth Ames,606,5,2,5.6
Hayride,2012,Crime|Drama|Horror,English,USA,Not Rated,93,1.78,60000,,Terron R. Parsons,Richard Tyson,Jeremy Sande,Corlandos Scott,485,5,13,3.4
Here Comes the Boom,2012,Action|Comedy|Sport,English,USA,PG,105,1.85,42000000,45290318,Frank Coraci,Salma Hayek,Reggie Lee,Charice,74169,112,154,6.5
Hit and Run,2012,Action|Comedy|Romance,English,USA,R,100,2.35,2000000,13746550,David Palmer,Bradley Cooper,Tom Arnold,Beau Bridges,29322,104,176,6.1
Holy Motors,2012,Drama|Fantasy,French,France,Not Rated,115,1.85,,,Leos Carax,Kylie Minogue,Leos Carax,Denis Lavant,29440,110,332,7.1
Hope Springs,2012,Comedy|Drama|Romance,English,USA,PG-13,100,2.35,30000000,63536011,David Frankel,Meryl Streep,Steve Carell,Jean Smart,34258,178,234,6.3
Hotel Transylvania,2012,Animation|Comedy|Family|Fantasy,English,USA,PG,91,1.85,85000000,148313048,Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Jon Lovitz,164148,168,256,7.1
House at the End of the Street,2012,Drama|Horror|Thriller,English,Canada,PG-13,101,2.35,6900000,31607598,Mark Tonderai,Jennifer Lawrence,Nolan Gerard Funk,Gil Bellows,58366,160,224,5.6
How to Fall in Love,2012,Comedy|Romance,English,USA,TV-G,84,1.78,4000000,,Mark Griffiths,Eric Mabius,Gina Holden,Brooke D'Orsay,1929,4,3,6.3
Ice Age: Continental Drift,2012,Adventure|Animation|Comedy|Family,English,USA,PG,88,2.35,95000000,161317423,Steve Martino,Peter Dinklage,Josh Gad,Drake,145321,139,233,6.6
Indie Game: The Movie,2012,Documentary,English,Canada,Not Rated,103,16,100000,,Lisanne Pajot,Jonathan Blow,Edmund McMillen,Phil Fish,16701,23,50,7.7
Inescapable,2012,Drama|Mystery|Romance|Thriller,English,Canada,R,93,2.35,4000000,4063,Ruba Nadda,Saad Siddiqui,Bonnie Lee Bouman,Fadia Nadda,2086,20,36,5.2
Jab Tak Hai Jaan,2012,Drama|Romance,Hindi,India,Not Rated,176,2.35,7217600,3047539,Yash Chopra,Shah Rukh Khan,Katrina Kaif,Vic Waghorn,42296,286,50,6.9
Jack Reacher,2012,Action|Crime|Mystery|Thriller,English,USA,PG-13,130,2.35,60000000,80033643,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,226570,448,387,7
Jack Reacher,2012,Action|Crime|Mystery|Thriller,English,USA,PG-13,130,2.35,60000000,80033643,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,226583,448,387,7
John Carter,2012,Action|Adventure|Sci-Fi,English,USA,PG-13,132,2.35,263700000,73058679,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,212204,738,462,6.6
Journey 2: The Mysterious Island,2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,94,1.85,79000000,103812241,Brad Peyton,Josh Hutcherson,Dwayne Johnson,Kristin Davis,67296,133,178,5.8
Joyful Noise,2012,Comedy|Music,English,USA,PG-13,118,2.35,25000000,30920167,Todd Graff,Dolly Parton,Jeremy Jordan,Jesse L. Martin,6476,71,98,5.7
Katy Perry: Part of Me,2012,Documentary|Music,English,USA,PG,93,1.85,12000000,25240988,Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,12383,50,68,5.9
Khiladi 786,2012,Action|Comedy,Hindi,India,Not Rated,141,,,352684,Ashish R. Mohan,Asin,Mithun Chakraborty,Johnny Lever,4633,31,23,4.3
Killing Them Softly,2012,Crime|Thriller,English,USA,R,97,2.35,15000000,14938570,Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn,111625,369,414,6.2
Les Misérables,2012,Drama|Musical|Romance,English,USA,PG-13,158,1.85,61000000,148775460,Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,243834,845,488,7.6
Life of Pi,2012,Adventure|Drama|Fantasy,English,USA,PG,127,1.85,120000000,124976634,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,440084,755,552,8
Lincoln,2012,Biography|Drama|History|War,English,USA,PG-13,150,2.35,65000000,182204440,Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,197412,720,538,7.4
Lockout,2012,Action|Adventure|Sci-Fi|Thriller,English,France,PG-13,95,2.35,20000000,14291570,James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,82082,236,289,6.1
LOL,2012,Comedy|Drama|Romance,English,USA,PG-13,97,2.35,11000000,,Lisa Azuelos,Nora Dunn,Lina Esco,Alix Freihage,45144,111,54,4.3
Looper,2012,Action|Crime|Drama|Sci-Fi|Thriller,English,USA,R,119,2.35,30000000,66468315,Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,428916,667,589,7.4
Madagascar 3: Europe's Most Wanted,2012,Adventure|Animation|Comedy|Family,English,USA,PG,93,1.85,145000000,216366733,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,119213,154,211,6.9
Madea's Witness Protection,2012,Comedy|Crime|Drama,English,USA,PG-13,114,1.85,20000000,65623128,Tyler Perry,John Amos,Tom Arnold,Romeo Miller,7354,50,31,4.8
Magic Mike,2012,Comedy|Drama,English,USA,R,110,2.35,7000000,113709992,Steven Soderbergh,Channing Tatum,Alex Pettyfer,Matthew McConaughey,108843,281,324,6.1
Man on a Ledge,2012,Action|Crime|Thriller,English,USA,PG-13,102,2.35,42000000,18600911,Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,125198,153,258,6.6
Maniac,2012,Horror|Thriller,English,France,Not Rated,89,2.35,6000000,12843,Franck Khalfoun,America Olivo,Nora Arnezeder,Liane Balaban,27297,131,279,6.1
Men in Black 3,2012,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG-13,106,1.85,225000000,179020854,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,268154,341,451,6.8
Middle of Nowhere,2012,Drama,English,USA,R,97,2.35,200000,78030,Ava DuVernay,Omari Hardwick,David Oyelowo,Lorraine Toussaint,1034,10,37,6.5
Mirror Mirror,2012,Adventure|Comedy|Drama|Family|Fantasy,English,USA,PG,106,1.85,85000000,64933670,Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,70838,208,382,5.6
Moonrise Kingdom,2012,Adventure|Comedy|Drama|Romance,English,USA,PG-13,94,1.85,16000000,45507053,Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,237848,377,487,7.8
Mud,2012,Drama,English,USA,PG-13,130,2.35,10000000,21589307,Jeff Nichols,Matthew McConaughey,Tye Sheridan,Sam Shepard,135286,261,368,7.4
No Vacancy,2012,Horror,English,USA,R,81,,4000000,,Chris Stokes,Kristen Quintrall,Rachel Sterling,Black Thomas,1561,21,14,4.2
Now Is Good,2012,Drama|Romance,English,UK,PG-13,103,2.35,,,Ol Parker,Jeremy Irvine,Olivia Williams,Paddy Considine,26863,54,48,7.2
On the Road,2012,Adventure|Drama,English,France,R,137,2.35,25000000,717753,Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,33107,128,252,6.1
One for the Money,2012,Action|Comedy|Crime|Romance|Thriller,English,USA,PG-13,91,2.35,40000000,26404753,Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,34203,169,127,5.3
Outside Bet,2012,Comedy,English,UK,,101,,7500000,,Sacha Bennett,Bob Hoskins,Jenny Agutter,Vincent Regan,243,3,4,4.8
Paranormal Activity 4,2012,Horror,English,USA,R,96,1.85,5000000,53884821,Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,51204,247,248,4.6
ParaNorman,2012,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,92,2.35,60000000,55994557,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,72287,176,328,7
Parental Guidance,2012,Comedy|Family,English,USA,PG,105,1.85,25000000,77264926,Andy Fickman,Bailee Madison,Gedde Watanabe,Tom Everett Scott,21176,107,139,6.1
Pitch Perfect,2012,Comedy|Music|Romance,English,USA,PG-13,112,1.85,17000000,64998368,Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,213898,250,223,7.2
Playing for Keeps,2012,Comedy|Romance|Sport,English,USA,PG-13,105,2.35,35000000,13101142,Gabriele Muccino,Gerard Butler,Dennis Quaid,Judy Greer,23916,50,135,5.7
Premium Rush,2012,Action|Crime|Thriller,English,USA,PG-13,91,2.35,35000000,20275446,David Koepp,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,95274,178,248,6.5
Project X,2012,Comedy|Crime,English,USA,R,93,1.85,12000000,54724272,Nima Nourizadeh,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,157051,261,229,6.7
Prometheus,2012,Adventure|Mystery|Sci-Fi,English,USA,R,124,2.35,130000000,126464904,Ridley Scott,Michael Fassbender,Charlize Theron,Sean Harris,456260,2326,775,7
Promised Land,2012,Drama,English,USA,R,106,1.85,15000000,7556708,Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney,30284,102,242,6.6
Quartet,2012,Comedy|Drama,English,UK,PG-13,98,2.35,11000000,18381787,Dustin Hoffman,Luke Newberry,Sheridan Smith,Pauline Collins,15684,126,175,6.8
Red Lights,2012,Drama|Horror|Mystery|Thriller,English,Spain,R,114,2.35,14000000,,Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,48162,140,195,6.2
Red Tails,2012,Action|Adventure|Drama|History|War,English,USA,PG-13,125,2.35,58000000,49875589,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,28807,273,144,5.9
Resident Evil: Retribution,2012,Action|Horror|Sci-Fi|Thriller,English,Germany,R,96,2.35,65000000,42345531,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,104831,423,239,5.4
Restless,2012,Drama|Romance,English,UK,,180,16,,,Edward Hall,Rufus Sewell,Hayley Atwell,Charlotte Rampling,2098,12,17,7.2
Rise of the Guardians,2012,Adventure|Animation|Family|Fantasy,English,USA,PG,97,1.85,145000000,103400692,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,123553,174,256,7.3
Robot & Frank,2012,Comedy|Crime|Drama|Sci-Fi,English,USA,PG-13,89,2.35,2500000,3325638,Jake Schreier,Frank Langella,Joshua Ormond,Ana Gasteyer,52509,84,252,7.1
Rock of Ages,2012,Comedy|Drama|Musical|Romance,English,USA,PG-13,136,2.35,75000000,38509342,Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,61995,356,360,5.9
"Run, Hide, Die",2012,Horror|Thriller,English,USA,,75,2.35,50000,,Collin Joseph Neal,Julianne Gabert,Thomas Brophy,Ronee Collins,106,5,7,3.7
Safe House,2012,Action|Crime|Mystery|Thriller,English,USA,R,115,2.35,85000000,126149655,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,166693,276,298,6.8
Safe,2012,Action|Crime|Thriller,English,USA,R,94,2.35,30000000,17120019,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,83097,134,258,6.5
Safety Not Guaranteed,2012,Comedy|Drama|Romance,English,USA,R,86,2.35,750000,4007792,Colin Trevorrow,Mary Lynn Rajskub,Mark Duplass,Jeff Garlin,101287,260,271,7
Sanctuary; Quite a Conundrum,2012,Comedy|Horror|Thriller,English,USA,,82,16,200000,,Thomas L. Phillips,Julianna Pitt,Joe Coffey,John Lucas,133,8,13,5.4
Savages,2012,Crime|Drama|Thriller,English,USA,R,141,2.35,45000000,47307550,Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,104301,269,339,6.5
Seeking a Friend for the End of the World,2012,Adventure|Comedy|Drama|Romance|Sci-Fi,English,USA,R,101,2.35,10000000,6619173,Lorene Scafaria,Steve Carell,Mark Moses,Rob Huebel,87203,221,265,6.7
Seven Psychopaths,2012,Comedy|Crime,English,UK,R,110,2.35,15000000,14989761,Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,185845,284,401,7.2
Shanghai Calling,2012,Comedy|Drama|Romance,English,USA,PG-13,100,2.35,,10443,Daniel Hsia,Alan Ruck,Daniel Henney,Eliza Coupe,1255,9,14,6.3
Should've Been Romeo,2012,Comedy|Drama,English,USA,,,,5000000,,Marc Bennett,Michael Rapaport,Natasha Henstridge,Costas Mandylor,38,2,2,6.7
Silent Hill: Revelation 3D,2012,Adventure|Drama|Horror|Mystery|Thriller,English,France,R,95,2.35,20000000,17529157,Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,49888,220,173,5
Silver Linings Playbook,2012,Comedy|Drama|Romance,English,USA,R,122,2.35,21000000,132088910,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,533607,692,539,7.8
Sinister,2012,Horror|Mystery,English,USA,R,110,2.35,3000000,48056940,Scott Derrickson,Danielle Kotch,Victoria Leigh,James Ransone,155153,524,411,6.8
Skyfall,2012,Action|Adventure|Thriller,English,UK,PG-13,143,2.35,200000000,304360277,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,522030,1498,750,7.8
Skyfall,2012,Action|Adventure|Thriller,English,UK,PG-13,143,2.35,200000000,304360277,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,522048,1498,750,7.8
Small Apartments,2012,Comedy|Crime|Drama,English,USA,R,96,1.85,2000000,,Jonas Åkerlund,Noel Gugliemi,Saffron Burrows,Matt Lucas,5732,26,33,6.1
Snow Queen,2012,Adventure|Animation|Family,Russian,Russia,PG,80,,7000000,,Vladlen Barbe,Erin Fitzgerald,Wendee Lee,Ivan Okhlobystin,1159,9,10,5.3
Snow White and the Huntsman,2012,Action|Adventure|Drama|Fantasy,English,USA,PG-13,132,2.35,170000000,155111815,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,228554,710,416,6.1
Snow White: A Deadly Summer,2012,Horror,English,USA,PG-13,83,1.78,1000000,,David DeCoteau,Maureen McCormick,Shanley Caswell,Tim Abell,634,14,7,2.2
Sparkle,2012,Drama|Music,English,USA,PG-13,116,2.35,17000000,24397469,Salim Akil,Omari Hardwick,Curtis Armstrong,Mike Epps,5161,48,82,5.7
Spring Breakers,2012,Crime|Drama,English,USA,R,94,2.35,5000000,14123773,Harmony Korine,James Franco,Heather Morris,Rachel Korine,108683,561,444,5.3
Step Up Revolution,2012,Drama|Music|Romance,English,USA,PG-13,99,2.35,33000000,35057332,Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,45394,72,121,6.5
Stitches,2012,Comedy|Horror,English,Ireland,R,86,1.85,,,Conor McMahon,Peter McQuinn,Tommy Knight,Jemma Curran,6585,53,98,5.7
